iter	RMSE
313	4.026116292
314	4.01989167
315	4.014665862
316	4.008552615
317	4.001800038
318	3.997045039
319	3.994146927
320	3.989100873
321	3.979013381
322	3.975202109
323	3.969047683
324	3.965035586
325	3.959298924
326	3.953866862
327	3.949561666
328	3.944964091
329	3.939735257
330	3.938624291
331	3.932865571
332	3.929153807
333	3.923813754
334	3.922621848
335	3.919223115
336	3.918189194
337	3.912427075
338	3.909157143
339	3.908171897
340	3.907113512
341	3.902185583
342	3.895716278
343	3.887708155
344	3.883527018
345	3.882246449
346	3.879188849
347	3.875594254
348	3.871856645
349	3.866198586
350	3.862022792
351	3.860855406
352	3.851502271
353	3.850598483
354	3.849730912
355	3.843564916
356	3.83991139
357	3.834648416
358	3.830303227
359	3.828068321
360	3.827126073
361	3.823722746
362	3.821482369
363	3.817141388
364	3.813720211
365	3.812682068
366	3.811690019
367	3.810741864
368	3.808283034
369	3.806162287
370	3.796984941
371	3.79488754
372	3.792927764
373	3.78829389
374	3.787616864
375	3.786756856
376	3.786114532
377	3.777129794
378	3.77380655
379	3.773186725
380	3.770077694
381	3.769495095
382	3.76746221
383	3.766899384
384	3.765552057
385	3.764205537
386	3.763443111
387	3.762880887
388	3.759501196
389	3.757631032
390	3.755877929
391	3.755369633
392	3.753728208
393	3.751533801
394	3.742490068
395	3.734021991
396	3.731539299
397	3.73072758
398	3.727778078
399	3.727008179
400	3.726280907
401	3.72275488
402	3.71985242
403	3.71615937
404	3.712904488
405	3.711267983
406	3.703001477
407	3.700332688
408	3.698886777
409	3.695474027
410	3.691800689
411	3.68852067
412	3.682413316
413	3.67873188
414	3.676739047
415	3.672875102
416	3.669480665
417	3.661380828
418	3.660258323
419	3.652398045
420	3.650502727
421	3.649238844
422	3.646331885
423	3.642185105
424	3.639309326
425	3.637572949
426	3.636414175
427	3.635612212
428	3.632880886
429	3.62909851
430	3.628742541
431	3.627973971
432	3.625773039
433	3.622050783
434	3.620104196
435	3.619068951
436	3.617638915
437	3.615039472
438	3.607732676
439	3.604675101
440	3.603300251
441	3.601229103
442	3.593302122
443	3.592717339
444	3.591281325
445	3.585550357
446	3.578022938
447	3.577012104
448	3.57574498
449	3.574559447
450	3.572162178
451	3.569083198
452	3.568792449
453	3.567993928
454	3.565363683
455	3.563061359
456	3.560203433
457	3.558202188
458	3.556711268
459	3.555966255
460	3.548620159
461	3.547301009
462	3.545153388
463	3.543056263
464	3.540370061
465	3.534889787
466	3.53230671
467	3.530863114
468	3.523601503
469	3.52335197
470	3.521354484
471	3.520447715
472	3.515707866
473	3.514004933
474	3.512438401
475	3.510983356
476	3.509144665
477	3.50680708
478	3.504982306
479	3.502392228
480	3.501666564
481	3.500599773
482	3.49990924
483	3.497404014
484	3.492113481
485	3.490538542
486	3.487925056
487	3.48602119
488	3.485004441
489	3.479920711
490	3.478182528
491	3.476148315
492	3.474614971
493	3.473966562
494	3.471092056
495	3.464103248
496	3.462844554
497	3.461663263
498	3.456281221
499	3.454009843
500	3.447263201
501	3.445011314
502	3.441882577
503	3.44127535
504	3.439551596
505	3.4347875
506	3.433141115
507	3.430792626
508	3.428156201
509	3.426569566
510	3.42381011
511	3.418932667
512	3.411922704
513	3.405312451
514	3.402748667
515	3.40078992
516	3.399750452
517	3.397278575
518	3.396021349
519	3.390103594
520	3.388616783
521	3.386811251
522	3.383330201
523	3.381802377
524	3.377491941
525	3.376859763
526	3.375806712
527	3.370408129
528	3.369425136
529	3.368426592
530	3.367025927
531	3.364346126
532	3.357858317
533	3.354886462
534	3.354015025
535	3.35279694
536	3.346435627
537	3.345289023
538	3.343967703
539	3.342973657
540	3.336851558
541	3.335102587
542	3.333632986
543	3.33316958
544	3.32809229
545	3.326014675
546	3.3253539
547	3.324412297
548	3.323541382
549	3.322903051
550	3.319413428
551	3.318858794
552	3.318279607
553	3.317813235
554	3.31630783
555	3.314664669
556	3.314120111
557	3.312191716
558	3.311161624
559	3.310504762
560	3.309880975
561	3.307665847
562	3.306383168
563	3.305961668
564	3.304391931
565	3.30238756
566	3.301296851
567	3.300883285
568	3.299483539
569	3.299077194
570	3.29868941
571	3.294565022
572	3.293368698
573	3.292149129
574	3.289030568
575	3.288741603
576	3.287451946
577	3.285726292
578	3.285526755
579	3.284378781
580	3.281603964
581	3.281514067
582	3.280819577
583	3.276036845
584	3.274609488
585	3.273304867
586	3.268094148
587	3.266856537
588	3.265775354
589	3.264743846
590	3.262202194
591	3.257784087
592	3.256536263
593	3.255740801
594	3.254974333
595	3.254476098
596	3.254147093
597	3.252900881
598	3.248685356
599	3.248140673
600	3.247406305
601	3.245599679
602	3.244628408
603	3.243918152
604	3.242896341
605	3.241287653
606	3.239959605
607	3.235333415
608	3.234971991
609	3.234618205
610	3.232320894
611	3.232140101
612	3.229775476
613	3.229465843
614	3.227923745
615	3.226222605
616	3.225172815
617	3.224366296
618	3.22420028
619	3.224032277
620	3.223298762
621	3.221984774
622	3.218042191
623	3.215728539
624	3.214983181
625	3.214110087
626	3.213207853
627	3.211136404
628	3.209909964
629	3.208518336
630	3.207600824
631	3.206009512
632	3.205109566
633	3.203966041
634	3.203466119
635	3.202991946
636	3.20148114
637	3.199502693
638	3.199039072
639	3.198166159
640	3.197637034
641	3.19660635
642	3.194695008
643	3.19362295
644	3.192983875
645	3.191298441
646	3.190418678
647	3.189518616
648	3.187672352
649	3.186926076
650	3.182474597
651	3.18139284
652	3.177858337
653	3.176661976
654	3.175568024
655	3.175212452
656	3.174618699
657	3.17402916
658	3.173172197
659	3.171563579
660	3.170496245
661	3.169062177
662	3.167214682
663	3.16619995
664	3.162405974
665	3.160699728
666	3.159065392
667	3.1579206
668	3.157362723
669	3.153327437
670	3.151933671
671	3.150405803
672	3.14944784
673	3.148377416
674	3.147511516
675	3.144024956
676	3.140642038
677	3.139362288
678	3.138357515
679	3.137143328
680	3.135555131
681	3.13210723
682	3.130863425
683	3.129977087
684	3.128562571
685	3.127199005
686	3.126952483
687	3.125296645
688	3.124226799
689	3.123597999
690	3.122715408
691	3.122205565
692	3.122026949
693	3.121855554
694	3.121736542
695	3.120041834
696	3.117338944
697	3.115661238
698	3.115638553
699	3.114050165
700	3.113188066
701	3.112241495
702	3.112224566
703	3.11138613
704	3.111059289
705	3.110605754
706	3.109787438
707	3.107485051
708	3.105950498
709	3.10455757
710	3.103198349
711	3.102486355
712	3.100105207
713	3.099522388
714	3.098292809
715	3.097558336
716	3.09742644
717	3.096836123
718	3.096527685
719	3.095000917
720	3.094248785
721	3.09350591
722	3.090509186
723	3.088449084
724	3.087118546
725	3.086852765
726	3.086561177
727	3.084574162
728	3.084558108
729	3.083757393
730	3.083630048
731	3.082138551
732	3.081092506
733	3.080786266
734	3.080595434
735	3.079959527
736	3.079668711
737	3.079432826
738	3.079158435
739	3.079003608
740	3.075549257
741	3.072326464
742	3.070250342
743	3.069252589
744	3.069012626
745	3.06769391
746	3.065930147
747	3.065912628
748	3.064002145
749	3.063988227
750	3.062991699
751	3.062163988
752	3.062038632
753	3.059922777
754	3.059670946
755	3.059103294
756	3.057793013
757	3.057335273
758	3.055794329
759	3.055702982
760	3.054383971
761	3.053980987
762	3.051286217
763	3.049651399
764	3.049425247
765	3.049219753
766	3.049206287
767	3.047968349
768	3.046765347
769	3.045672686
770	3.045081233
771	3.043507895
772	3.043121165
773	3.042853715
774	3.04265976
775	3.042018039
776	3.040772222
777	3.03823429
778	3.037716172
779	3.037462466
780	3.036365249
781	3.036027832
782	3.035789254
783	3.035377486
784	3.034725446
785	3.034495564
786	3.032565838
787	3.031404229
788	3.030405843
789	3.030212362
790	3.028894372
791	3.028669216
792	3.028470286
793	3.027256892
794	3.026420472
795	3.024966321
796	3.024433669
797	3.02380699
798	3.017194321
799	3.017004259
800	3.016118087
801	3.013502442
802	3.013190509
803	3.010713896
804	3.009540859
805	3.009316134
806	3.008813852
807	3.002457055
808	3.001975153
809	3.001211805
810	2.998779624
811	2.997688735
812	2.996682319
813	2.995575744
814	2.995358083
815	2.992870467
816	2.990874393
817	2.990381521
818	2.989382316
819	2.988913352
820	2.988894407
821	2.988294206
822	2.987892952
823	2.985808463
824	2.9850724
825	2.984394338
826	2.983409303
827	2.983395253
828	2.983018847
829	2.980830733
830	2.980203313
831	2.979968816
832	2.977927958
833	2.977499145
834	2.976497852
835	2.975445517
836	2.975011968
837	2.974500134
838	2.973983559
839	2.973437576
840	2.97266679
841	2.97074188
842	2.96450794
843	2.958459185
844	2.958250907
845	2.957814926
846	2.955421054
847	2.953706874
848	2.953148021
849	2.952218579
850	2.950854894
851	2.949663067
852	2.949356667
853	2.94317679
854	2.942226365
855	2.941149962
856	2.938847065
857	2.93686748
858	2.936544214
859	2.936277717
860	2.935554702
861	2.934662329
862	2.934511062
863	2.934458721
864	2.92846559
865	2.928163733
866	2.922509414
867	2.920790789
868	2.920256521
869	2.919335912
870	2.9171757
871	2.916890494
872	2.915388884
873	2.914211418
874	2.912403821
875	2.910391938
876	2.908736428
877	2.907336873
878	2.906605446
879	2.905201941
880	2.899774733
881	2.899084879
882	2.89681805
883	2.896629281
884	2.895861409
885	2.895248701
886	2.895069445
887	2.893902571
888	2.893636274
889	2.892573238
890	2.887294898
891	2.886962711
892	2.886458253
893	2.885756492
894	2.884075763
895	2.882922876
896	2.881839432
897	2.880530146
898	2.879804529
899	2.878991083
900	2.87360686
901	2.86839041
902	2.863338641
903	2.861274339
904	2.859368236
905	2.85859811
906	2.856837785
907	2.855944409
908	2.854794681
909	2.853833859
910	2.853372409
911	2.850213156
912	2.849724174
913	2.848654442
914	2.848494676
915	2.847835863
916	2.847315387
917	2.842483316
918	2.841382045
919	2.840894361
920	2.840703053
921	2.839746225
922	2.839149828
923	2.838488342
924	2.837636277
925	2.83725592
926	2.836854106
927	2.835205028
928	2.834318521
929	2.829623489
930	2.829384216
931	2.829157068
932	2.827425629
933	2.825889808
934	2.824717998
935	2.823222436
936	2.823082071
937	2.82291765
938	2.818403013
939	2.818390593
940	2.818007727
941	2.817371839
942	2.817183569
943	2.816967385
944	2.816299146
945	2.815939811
946	2.815187803
947	2.813742108
948	2.813133252
949	2.812057564
950	2.81185364
951	2.81046744
952	2.809749892
953	2.808912556
954	2.808900549
955	2.80874102
956	2.808589217
957	2.807913535
958	2.803453764
959	2.803442398
960	2.802439017
961	2.802295488
962	2.801518049
963	2.801088135
964	2.800780327
965	2.800196404
966	2.799266721
967	2.799135024
968	2.798991976
969	2.798866997
970	2.798515983
971	2.797781968
972	2.796712608
973	2.7953636
974	2.794678497
975	2.793579265
976	2.792712448
977	2.792586876
978	2.792465225
979	2.791014203
980	2.790217398
981	2.789578547
982	2.785350242
983	2.784085551
984	2.783930736
985	2.781074662
986	2.779810295
987	2.775637535
988	2.774658523
989	2.774082631
990	2.77292648
991	2.772599175
992	2.772521805
993	2.768629234
994	2.76836226
995	2.768052837
996	2.767733193
997	2.767116626
998	2.766849591
999	2.766795584
